0.050 quantile:	acc: 0.5297	loss: 0.8302
0.100 quantile:	acc: 0.5674	loss: 0.8638
0.150 quantile:	acc: 0.5904	loss: 0.8882
0.200 quantile:	acc: 0.6083	loss: 0.9069
0.250 quantile:	acc: 0.6227	loss: 0.9249
0.300 quantile:	acc: 0.6354	loss: 0.9413
0.350 quantile:	acc: 0.6467	loss: 0.9561
0.400 quantile:	acc: 0.6572	loss: 0.9725
0.450 quantile:	acc: 0.6678	loss: 0.9880
0.500 quantile:	acc: 0.6774	loss: 1.0039
0.550 quantile:	acc: 0.6873	loss: 1.0199
0.600 quantile:	acc: 0.6966	loss: 1.0361
0.650 quantile:	acc: 0.7053	loss: 1.0537
0.700 quantile:	acc: 0.7143	loss: 1.0747
0.750 quantile:	acc: 0.7237	loss: 1.0947
0.800 quantile:	acc: 0.7340	loss: 1.1186
0.850 quantile:	acc: 0.7458	loss: 1.1500
0.900 quantile:	acc: 0.7593	loss: 1.1905
0.950 quantile:	acc: 0.7778	loss: 1.2629
Expectation:	acc: 0.6688	loss: 1.0193
Variance:	acc: 0.0057	loss: 0.0182
